Auto-detected serial ports are:
/dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connecting to /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connect /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0 source_system=255
Log Directory: 
Telemetry log: mav.tlog
Waiting for heartbeat from /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
MAV> APM: [MLAgent] S: 5253851 A: 1451829
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5286350 A: 5286390
APM: [MLAgent] S: 5286450 A: 5286489
APM: [MLAgent] S: 5286550 A: 5286589
APM: [MLAgent] S: 5286650 A: 5286689
APM: [MLAgent] S: 5286750 A: 5286789
APM: [MLAgent] S: 5286851 A: 5286890
APM: [MLAgent] S: 5286950 A: 5286989
APM: [MLAgent] S: 5287050 A: 5287089
APM: [MLAgent] S: 5287151 A: 5287189
APM: [MLAgent] S: 5287250 A: 5287289
APM: [MLAgent] S: 5287350 A: 5287390
APM: [MLAgent] S: 5287451 A: 5287490
APM: [MLAgent] S: 5287550 A: 5287589
APM: [MLAgent] S: 5287650 A: 5287689
APM: [MLAgent] S: 5287751 A: 5287789
APM: [MLAgent] S: 5287850 A: 5287889
APM: [MLAgent] S: 5287950 A: 5287989
APM: [MLAgent] S: 5288051 A: 5288089
APM: [MLAgent] S: 5288150 A: 5288189
APM: [MLAgent] S: 5288250 A: 5288289
APM: [MLAgent] S: 5288351 A: 5288389
APM: [MLAgent] S: 5288450 A: 5288489
APM: [MLAgent] S: 5288550 A: 5288590
APM: [MLAgent] S: 5288651 A: 5288689
APM: [MLAgent] S: 5288750 A: 5288789
APM: [MLAgent] S: 5288850 A: 5288889
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5288950 A: 5288989
APM: [MLAgent] S: 5289050 A: 5289089
APM: [MLAgent] S: 5289150 A: 5289190
APM: [MLAgent] S: 5289251 A: 5289289
APM: [MLAgent] S: 5289350 A: 5289389
APM: [MLAgent] S: 5289450 A: 5289490
APM: [MLAgent] S: 5289550 A: 5289589
APM: [MLAgent] S: 5289650 A: 5289689
APM: [MLAgent] S: 5289750 A: 5289789
APM: [MLAgent] S: 5289851 A: 5289889
APM: [MLAgent] S: 5289950 A: 5289989
APM: [MLAgent] S: 5290050 A: 5290089
APM: [MLAgent] S: 5290150 A: 5290189
APM: [MLAgent] S: 5290250 A: 5290290
APM: [MLAgent] S: 5290350 A: 5290390
APM: [MLAgent] S: 5290450 A: 5290489
APM: [MLAgent] S: 5290550 A: 5290589
APM: [MLAgent] S: 5290650 A: 5290689
APM: [MLAgent] S: 5290751 A: 5290790
APM: [MLAgent] S: 5290850 A: 5290889
APM: [MLAgent] S: 5290950 A: 5290989
APM: [MLAgent] S: 5291051 A: 5291089
APM: [MLAgent] S: 5291150 A: 5291190
APM: [MLAgent] S: 5291250 A: 5291289
APM: [MLAgent] S: 5291351 A: 5291389
APM: [MLAgent] S: 5291450 A: 5291490
APM: [MLAgent] S: 5291550 A: 5291589
APM: [MLAgent] S: 5291651 A: 5291689
APM: [MLAgent] S: 5291750 A: 5291789
APM: [MLAgent] S: 5291850 A: 5291890
APM: [MLAgent] S: 5291951 A: 5291989
APM: [MLAgent] S: 5292050 A: 5292089
APM: [MLAgent] S: 5292150 A: 5292189
APM: [MLAgent] S: 5292251 A: 5292289
APM: [MLAgent] S: 5292350 A: 5292369
APM: [MLAgent] S: 5292451 A: 5292490
waypoint 11
APM: [MLAgent] S: 5292551 A: 5292589
APM: [MLAgent] S: 5292650 A: 5292689
